from,to
SM2_01_L1_01,1NP-S1
SM2_02_L1_01,1NP-S2
SM2_03_L1_01,1NP-S3
SM2_04_L1_01,1NP-S4
SM2_05_L1_01,1NP-S5
SM2_06_L1_01,1NP-S6
SM2_07_L1_01,1NP-S7
SM2_08_L1_01,1NP-S8
SM2_09_L1_01,1NP-S9
SM2_01_L5/L6_01,5NP-S1
SM2_02_L5/L6_01,5NP-S2
SM2_03_L5/L6_01,5NP-S3
SM2_04_L5/L6_01,5NP-S4
SM2_05_L5/L6_01,5NP-S5
SM2_06_L5/L6_01,5NP-S6
SM2_07_L5/L6_01,5NP-S7
SM2_08_L5/L6_01,5NP-S8
SM2_09_L5/L6_01,5NP-S9
SM2_01_B1_01,1PP-S1
SM2_05_B1_01,1PP-S5
SM2_09_B1_01,1PP-S9
SM2_01_B2_01,2PP-S1
SM2_05_B2_01,2PP-S5
SM2_09_B2_01,2PP-S9
SM2_05_B3_01,3PP-S5
SM2_07_B3_01,3PP-S7
SM2_09_B3_01,3PP-S9