data_key_original,location,data_key
KOT1/Teplota venkovní (°C),sm2_01,temp_ambient
KOT1/VZT 01 | Obj. 1/vzt01_temp-tea-sani (°C),sm2_01,temp_intake
KOT1/VZT 01 | Obj. 1/vzt01_temp-teb-odvod (°C),sm2_01,temp_indoor
KOT1/VZT 01 | Obj. 1/vzt01_temp-tu1-privod (°C),sm2_01,temp_fresh
KOT1/VZT 01 | Obj. 1/vzt01_temp-tu2-vyfuk (°C),sm2_01,temp_waste
KOT1/VZT 02 | Obj. 2/vzt02_temp-tea-sani (°C),sm2_02,temp_intake
KOT1/VZT 02 | Obj. 2/vzt02_temp-teb-odvod (°C),sm2_02,temp_indoor
KOT1/VZT 02 | Obj. 2/vzt02_temp-tu1-privod (°C),sm2_02,temp_fresh
KOT1/VZT 02 | Obj. 2/vzt02_temp-tu2-vyfuk (°C),sm2_02,temp_waste
KOT1/VZT 03 | Obj. 3/vzt03_temp-tea-sani (°C),sm2_03,temp_intake
KOT1/VZT 03 | Obj. 3/vzt03_temp-teb-odvod (°C),sm2_03,temp_indoor
KOT1/VZT 03 | Obj. 3/vzt03_temp-tu1-privod (°C),sm2_03,temp_fresh
KOT1/VZT 03 | Obj. 3/vzt03_temp-tu2-vyfuk (°C),sm2_03,temp_waste
KOT3/VZT 07 | Obj. 7/vzt07_temp-tea-sani (°C),sm2_07,temp_intake
KOT3/VZT 07 | Obj. 7/vzt07_temp-teb-odvod (°C),sm2_07,temp_indoor
KOT3/VZT 07 | Obj. 7/vzt07_temp-tu1-privod (°C),sm2_07,temp_fresh
KOT3/VZT 07 | Obj. 7/vzt07_temp-tu2-vyfuk (°C),sm2_07,temp_waste
KOT3/VZT 08 | Obj. 8/vzt08_temp-tea-sani (°C),sm2_08,temp_intake
KOT3/VZT 08 | Obj. 8/vzt08_temp-teb-odvod (°C),sm2_08,temp_indoor
KOT3/VZT 08 | Obj. 8/vzt08_temp-tu1-privod (°C),sm2_08,temp_fresh
KOT3/VZT 08 | Obj. 8/vzt08_temp-tu2-vyfuk (°C),sm2_08,temp_waste
KOT3/VZT 09 | Obj. 9/vzt09_temp-tea-sani (°C),sm2_09,temp_intake
KOT3/VZT 09 | Obj. 9/vzt09_temp-teb-odvod (°C),sm2_09,temp_indoor
KOT3/VZT 09 | Obj. 9/vzt09_temp-tu1-privod (°C),sm2_09,temp_fresh
KOT3/VZT 09 | Obj. 9/vzt09_temp-tu2-vyfuk (°C),sm2_09,temp_waste
KOT2/VZT 04 | Obj. 4/vzt04_temp-tea-sani (°C),sm2_04,temp_intake
KOT2/VZT 04 | Obj. 4/vzt04_temp-teb-odvod (°C),sm2_04,temp_indoor
KOT2/VZT 04 | Obj. 4/vzt04_temp-tu1-privod (°C),sm2_04,temp_fresh
KOT2/VZT 04 | Obj. 4/vzt04_temp-tu2-vyfuk (°C),sm2_04,temp_waste
KOT2/VZT 05 | Obj. 5/vzt05_temp-tea-sani (°C),sm2_05,temp_intake
KOT2/VZT 05 | Obj. 5/vzt05_temp-teb-odvod (°C),sm2_05,temp_indoor
KOT2/VZT 05 | Obj. 5/vzt05_temp-tu1-privod (°C),sm2_05,temp_fresh
KOT2/VZT 05 | Obj. 5/vzt05_temp-tu2-vyfuk (°C),sm2_05,temp_waste
KOT2/VZT 06 | Obj. 6/vzt06_temp-tea-sani (°C),sm2_06,temp_intake
KOT2/VZT 06 | Obj. 6/vzt06_temp-teb-odvod (°C),sm2_06,temp_indoor
KOT2/VZT 06 | Obj. 6/vzt06_temp-tu1-privod (°C),sm2_06,temp_fresh
KOT2/VZT 06 | Obj. 6/vzt06_temp-tu2-vyfuk (°C),sm2_06,temp_waste